Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
531,32,Left,tensor(38.9202),Yes
531,1,Right,tensor(7.2223),Yes
531,2,Right,tensor(10.4756),Yes
531,38,Left,tensor(14.1171),Yes
532,25,Right,tensor(54.8136),No
532,34,Right,tensor(42.5663),Yes
532,32,Left,tensor(39.8068),Yes
532,1,Right,tensor(9.3851),Yes
532,2,Right,tensor(8.3050),Yes
532,38,Left,tensor(11.4555),Yes
533,34,Right,tensor(44.2973),No
533,25,Right,tensor(54.2836),No
533,1,Right,tensor(9.4194),Yes
533,32,Left,tensor(39.6661),No
533,2,Right,tensor(10.3815),Yes
533,36,Left,tensor(19.4497),Yes
534,34,Right,tensor(42.1688),No
534,25,Right,tensor(48.9333),No
534,32,Left,tensor(40.7582),Yes
