Frame Number,Car ID,Lane (Left/Right),Speed (Km/h),Violation
416,31,Left,tensor(12.7690),Yes
417,26,Right,tensor(45.6856),No
417,19,Left,tensor(100.0936),No
417,24,Left,tensor(43.4070),Yes
417,30,Left,tensor(29.0759),Yes
417,5,Right,tensor(10.0615),Yes
417,31,Left,tensor(15.3530),Yes
418,26,Right,tensor(43.2561),No
418,7,Left,tensor(90.5019),No
418,24,Left,tensor(44.6542),Yes
418,30,Left,tensor(29.8451),Yes
418,5,Right,tensor(9.3536),Yes
418,31,Left,tensor(12.4176),Yes
419,26,Right,tensor(41.6587),No
419,24,Left,tensor(45.4333),No
419,30,Left,tensor(29.7654),Yes
419,5,Right,tensor(9.4640),Yes
419,7,Left,tensor(80.7112),No
419,31,Left,tensor(13.1249),Yes
420,26,Right,tensor(44.0270),No
420,24,Left,tensor(45.9113),No
420,30,Left,tensor(31.8675),Yes
420,5,Right,tensor(9.2666),Yes
420,31,Left,tensor(14.3800),Yes
421,26,Right,tensor(44.1594),No
421,24,Left,tensor(47.8542),No
421,30,Left,tensor(30.7724),Yes
421,5,Right,tensor(9.3809),Yes
421,31,Left,tensor(15.6961),Yes
422,26,Right,tensor(42.7920),No
422,24,Left,tensor(50.0094),No
422,30,Left,tensor(31.2447),Yes
422,5,Right,tensor(10.6435),Yes
422,31,Left,tensor(13.4267),Yes
423,26,Right,tensor(40.2360),No
423,24,Left,tensor(49.6755),No
423,30,Left,tensor(31.1953),Yes
423,5,Right,tensor(9.5900),Yes
423,31,Left,tensor(14.2013),Yes
424,26,Right,tensor(42.8825),No
424,24,Left,tensor(50.5324),No
424,30,Left,tensor(33.0582),Yes
424,5,Right,tensor(12.3470),Yes
424,31,Left,tensor(16.7456),Yes
425,26,Right,tensor(37.9920),No
425,24,Left,tensor(53.6529),No
425,30,Left,tensor(31.9746),Yes
425,5,Right,tensor(7.9268),Yes
425,31,Left,tensor(14.9777),Yes
426,26,Right,tensor(35.3987),No
426,24,Left,tensor(55.7558),No
426,30,Left,tensor(34.2980),Yes
426,5,Right,tensor(6.7064),Yes
426,31,Left,tensor(15.4048),Yes
427,26,Right,tensor(35.2128),No
427,24,Left,tensor(55.2494),No
427,30,Left,tensor(33.6138),Yes
427,5,Right,tensor(7.1242),Yes
427,31,Left,tensor(17.2865),Yes
428,26,Right,tensor(34.8164),No
428,24,Left,tensor(57.4426),No
428,30,Left,tensor(34.9517),Yes
428,5,Right,tensor(8.0217),Yes
428,31,Left,tensor(15.2427),Yes
429,26,Right,tensor(36.7031),No
429,24,Left,tensor(67.5914),No
429,30,Left,tensor(34.6996),Yes
429,31,Left,tensor(16.1097),Yes
429,5,Right,tensor(7.3165),Yes
430,26,Right,tensor(35.5717),No
430,24,Left,tensor(61.9917),No
430,30,Left,tensor(35.4559),Yes
430,5,Right,tensor(7.7004),Yes
430,31,Left,tensor(18.9018),Yes
431,26,Right,tensor(37.7994),No
